Data as of,State,MMWR Week,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
10/14/2020,United States,23,06/06/2020,Male,All Ages,30975,2541
10/14/2020,United States,23,06/06/2020,Female,All Ages,27719,2449
10/14/2020,United States,24,06/13/2020,Male,All Ages,30385,2189
10/14/2020,United States,24,06/13/2020,Female,All Ages,27416,2007
10/14/2020,United States,25,06/20/2020,Male,All Ages,30469,1970
10/14/2020,United States,25,06/20/2020,Female,All Ages,27233,1831
10/14/2020,United States,26,06/27/2020,Male,All Ages,30598,1995
10/14/2020,United States,26,06/27/2020,Female,All Ages,27579,1787
10/14/2020,United States,27,07/04/2020,Male,All Ages,31332,2473
10/14/2020,United States,27,07/04/2020,Female,All Ages,28113,1996
10/14/2020,United States,28,07/11/2020,Male,All Ages,32571,3205
10/14/2020,United States,28,07/11/2020,Female,All Ages,28836,2484
10/14/2020,United States,29,07/18/2020,Male,All Ages,33170,3973
10/14/2020,United States,29,07/18/2020,Female,All Ages,29326,3089
10/14/2020,United States,30,07/25/2020,Male,All Ages,33519,4461
10/14/2020,United States,30,07/25/2020,Female,All Ages,29714,3608
10/14/2020,United States,31,08/01/2020,Male,All Ages,33266,4575
10/14/2020,United States,31,08/01/2020,Female,All Ages,29479,3545
10/14/2020,United States,32,08/08/2020,Male,All Ages,33142,4269
10/14/2020,United States,32,08/08/2020,Female,All Ages,29469,3399
10/14/2020,United States,33,08/15/2020,Male,All Ages,32512,3855
10/14/2020,United States,33,08/15/2020,Female,All Ages,29423,3143
10/14/2020,United States,34,08/22/2020,Male,All Ages,31393,3246
10/14/2020,United States,34,08/22/2020,Female,All Ages,28528,2816
10/14/2020,United States,35,08/29/2020,Male,All Ages,29792,2865
10/14/2020,United States,35,08/29/2020,Female,All Ages,27548,2479
10/14/2020,United States,36,09/05/2020,Male,All Ages,28786,2415
10/14/2020,United States,36,09/05/2020,Female,All Ages,26512,2128
10/14/2020,United States,37,09/12/2020,Male,All Ages,28150,2214
10/14/2020,United States,37,09/12/2020,Female,All Ages,25614,1857
10/14/2020,United States,38,09/19/2020,Male,All Ages,27230,1896
10/14/2020,United States,38,09/19/2020,Female,All Ages,25086,1673
